,age,job,marital,education,housing,loan,contact,month,day_of_week,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
13,31.0,0.0,1.0,3.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,1.1,93.994,-36.4,4.855,5191.0,0.0265369342903076
14,57.0,0.0,1.0,6.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,1.0,-0.1,93.2,-42.0,4.021,5195.8,0.04474028597152138
15,53.0,1.0,1.0,2.0,1.0,0.0,1.0,4.0,0.0,5.0,0.0,1.0,1.4,94.465,-41.8,4.959,5228.1,0.041160052215780486
16,26.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.4,93.918,-42.7,4.963,5228.1,0.06937186181627635
17,35.0,0.0,1.0,3.0,1.0,0.0,0.0,7.0,3.0,1.0,0.0,1.0,-0.1,93.2,-42.0,4.153,5195.8,0.05486423336975798
18,22.0,8.0,2.0,3.0,0.0,0.0,0.0,6.0,3.0,2.0,2.0,0.0,-1.8,92.893,-46.2,1.266,5099.1,0.17831063936072
19,47.0,9.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.8,93.075,-47.1,1.405,5099.1,0.0874390156489593
20,59.0,4.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.4,93.444,-36.1,4.964,5228.1,0.046469495102834865
21,30.0,0.0,1.0,6.0,1.0,0.0,1.0,3.0,4.0,2.0,0.0,1.0,1.4,93.918,-42.7,4.962,5228.1,0.04499883593852564
22,47.0,9.0,1.0,5.0,0.0,0.0,1.0,4.0,1.0,3.0,0.0,1.0,1.4,94.465,-41.8,4.96,5228.1,0.03965491361661251
23,24.0,9.0,2.0,6.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,1.0,1.4,93.918,-42.7,4.968,5228.1,0.06760785025248751
24,47.0,0.0,0.0,6.0,0.0,0.0,1.0,6.0,3.0,1.0,0.0,1.0,1.1,93.994,-36.4,4.857,5191.0,0.01905056782994215
25,35.0,9.0,1.0,5.0,0.0,0.0,1.0,6.0,3.0,2.0,0.0,1.0,1.1,93.994,-36.4,4.856,5191.0,0.02936310978340299
26,54.0,9.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,1.4,93.444,-36.1,4.964,5228.1,0.04495525427108493
27,29.0,9.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,1.4,93.444,-36.1,4.965,5228.1,0.07403268555221232
28,57.0,5.0,2.0,3.0,0.0,0.0,1.0,4.0,4.0,4.0,0.0,1.0,1.4,94.465,-41.8,4.959,5228.1,0.03827160367147523
29,36.0,9.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,1.4,93.918,-42.7,4.96,5228.1,0.057722033937504164
30,41.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,1.0,1.4,93.444,-36.1,4.965,5228.1,0.06091345839505725
31,36.0,10.0,1.0,6.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,-1.8,92.843,-50.0,1.531,5099.1,0.3502699695621712
32,33.0,0.0,1.0,3.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,1.0,-1.8,92.893,-46.2,1.313,5099.1,0.03682978820956766
33,39.0,1.0,1.0,2.0,0.0,0.0,0.0,6.0,3.0,2.0,0.0,1.0,-1.8,92.893,-46.2,1.344,5099.1,0.06449622014879942
34,58.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,2.0,4.0,2.0,0.0,-1.7,94.215,-40.3,0.81,4991.6,0.4174450561756145
35,77.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,-1.7,94.027,-38.3,0.904,4991.6,0.38622661748971665
36,41.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,1.0,1.4,93.444,-36.1,4.967,5228.1,0.11130114489076234
37,54.0,7.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,-1.8,92.893,-46.2,1.25,5099.1,0.11254885533532304
38,30.0,10.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0,1.4,93.918,-42.7,4.957,5228.1,0.06255061591536291
39,40.0,0.0,2.0,6.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,1.0,1.4,94.465,-41.8,4.961,5228.1,0.04100144548279838
40,32.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,1.0,1.4,93.444,-36.1,4.966,5228.1,0.07684144235041614
41,35.0,0.0,1.0,6.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,-1.8,92.893,-46.2,1.313,5099.1,0.07373962348330013
42,48.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,1.4,93.444,-36.1,4.965,5228.1,0.04722464429436316
43,32.0,0.0,2.0,6.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,1.4,93.444,-36.1,4.965,5228.1,0.07087637332746108
44,47.0,9.0,0.0,5.0,0.0,0.0,1.0,6.0,4.0,3.0,0.0,1.0,1.1,93.994,-36.4,4.856,5191.0,0.023776375382954525
45,34.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,2.0,0.0,1.0,1.4,93.918,-42.7,4.966,5228.1,0.03430767037946433
46,44.0,1.0,1.0,2.0,1.0,0.0,1.0,6.0,4.0,2.0,0.0,1.0,1.1,93.994,-36.4,4.859,5191.0,0.037316133134915275
47,33.0,9.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.4,93.918,-42.7,4.962,5228.1,0.07010236868131403
48,31.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0,3.0,0.0,1.0,1.4,93.918,-42.7,4.968,5228.1,0.06882843274123801
49,30.0,7.0,2.0,3.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,1.0,1.1,93.994,-36.4,4.857,5191.0,0.03218767731052269
50,27.0,7.0,2.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,-1.8,93.075,-47.1,1.405,5099.1,0.3290648260726616
51,48.0,9.0,1.0,5.0,1.0,0.0,0.0,6.0,4.0,1.0,0.0,1.0,-1.8,92.893,-46.2,1.334,5099.1,0.07885764367361778
52,32.0,0.0,1.0,6.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,1.0,1.4,93.918,-42.7,4.962,5228.1,0.08482828601120912
53,29.0,0.0,2.0,6.0,1.0,0.0,0.0,6.0,4.0,1.0,1.0,0.0,-1.8,93.876,-40.0,0.672,5008.7,0.214097804375819
54,53.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,19.0,0.0,1.0,1.4,93.918,-42.7,4.963,5228.1,0.0019403195811653119
55,39.0,0.0,1.0,3.0,1.0,0.0,1.0,6.0,3.0,5.0,0.0,1.0,1.1,93.994,-36.4,4.856,5191.0,0.03508604159196373
56,55.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,1.0,1.1,93.994,-36.4,4.864,5191.0,0.026401742538211155
57,44.0,1.0,2.0,1.0,0.0,0.0,1.0,6.0,4.0,1.0,0.0,1.0,-1.8,93.876,-40.0,0.672,5008.7,0.1890689776159711
58,23.0,9.0,2.0,6.0,1.0,1.0,0.0,3.0,3.0,11.0,0.0,1.0,1.4,93.918,-42.7,4.961,5228.1,0.04971449153032992
59,44.0,10.0,1.0,2.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,1.0,1.4,93.918,-42.7,4.962,5228.1,0.0515186188976731
60,40.0,9.0,2.0,5.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,1.0,-1.8,92.893,-46.2,1.259,5099.1,0.188921302973794
61,50.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,4.0,1.0,0.0,1.0,1.4,94.465,-41.8,4.959,5228.1,0.055141871006149
62,27.0,0.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,-2.9,92.963,-40.8,1.268,5076.2,0.4263627934107632
63,32.0,1.0,0.0,2.0,1.0,0.0,1.0,4.0,1.0,5.0,0.0,1.0,1.4,94.465,-41.8,4.96,5228.1,0.042114903035025
64,43.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,-1.8,93.075,-47.1,1.405,5099.1,0.0459947813078134
65,31.0,9.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,1.4,93.444,-36.1,4.965,5228.1,0.06939046392646422
66,32.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,1.0,2.0,1.0,0.0,-1.8,92.893,-46.2,1.299,5099.1,0.03164641605418076
67,40.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,-1.8,93.075,-47.1,1.405,5099.1,0.049352790404589286
68,59.0,7.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,5.0,0.0,1.0,1.4,94.465,-41.8,4.958,5228.1,0.10471960874166501
69,35.0,0.0,2.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.4,93.444,-36.1,4.965,5228.1,0.05881251272186731
70,37.0,1.0,1.0,2.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,1.0,-1.8,92.893,-46.2,1.334,5099.1,0.0618136803122423
71,71.0,5.0,1.0,5.0,1.0,0.0,0.0,8.0,1.0,2.0,0.0,1.0,-1.1,94.601,-49.5,0.977,4963.6,0.3106776173667879
72,34.0,0.0,2.0,6.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.4,93.444,-36.1,4.968,5228.1,0.07004005426091851
73,55.0,0.0,1.0,3.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,1.1,93.994,-36.4,4.857,5191.0,0.02445118412048019
74,37.0,7.0,1.0,3.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,1.0,1.1,93.994,-36.4,4.857,5191.0,0.029681423206706938
75,38.0,7.0,1.0,3.0,0.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,1.1,93.994,-36.4,4.857,5191.0,0.030900803781160762
76,35.0,0.0,1.0,6.0,0.0,0.0,1.0,6.0,2.0,4.0,0.0,1.0,1.1,93.994,-36.4,4.86,5191.0,0.03285274582480128
77,30.0,0.0,1.0,6.0,0.0,0.0,1.0,6.0,4.0,1.0,0.0,1.0,1.1,93.994,-36.4,4.858,5191.0,0.04278416199280018
78,30.0,2.0,2.0,3.0,1.0,0.0,0.0,3.0,3.0,5.0,0.0,1.0,1.4,93.918,-42.7,4.961,5228.1,0.08524942984853898
79,41.0,1.0,2.0,5.0,0.0,0.0,1.0,4.0,1.0,3.0,0.0,1.0,1.4,94.465,-41.8,4.947,5228.1,0.027285286865709104
80,22.0,0.0,2.0,6.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,-1.7,94.215,-40.3,0.87,4991.6,0.07482940105813052
81,64.0,5.0,0.0,0.0,1.0,1.0,1.0,9.0,0.0,2.0,2.0,2.0,-1.1,94.199,-37.5,0.878,4963.6,0.7786507656968985
82,41.0,6.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.4,93.444,-36.1,4.963,5228.1,0.04268498628357111
83,37.0,9.0,1.0,5.0,1.0,0.0,0.0,3.0,0.0,6.0,0.0,1.0,1.4,93.918,-42.7,4.957,5228.1,0.056464445006085794
84,27.0,6.0,2.0,6.0,1.0,0.0,0.0,4.0,3.0,2.0,0.0,1.0,-2.9,92.963,-40.8,1.262,5076.2,0.32761713289206307
85,43.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,2.0,0.0,1.0,1.4,93.918,-42.7,4.961,5228.1,0.042629431035557525
86,24.0,0.0,2.0,6.0,1.0,0.0,0.0,5.0,4.0,2.0,1.0,0.0,-1.8,93.369,-34.8,0.655,5008.7,0.5402571715369282
87,51.0,9.0,1.0,5.0,0.0,0.0,0.0,1.0,4.0,9.0,0.0,1.0,1.4,93.444,-36.1,4.967,5228.1,0.0813935357468117
88,46.0,1.0,2.0,1.0,0.0,1.0,0.0,6.0,2.0,2.0,1.0,0.0,-1.8,92.893,-46.2,1.327,5099.1,0.03373643223378675
89,35.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,3.0,1.0,0.0,1.0,1.1,93.994,-36.4,4.856,5191.0,0.03715905545387087
90,30.0,9.0,1.0,5.0,0.0,1.0,1.0,6.0,0.0,2.0,0.0,1.0,1.1,93.994,-36.4,4.855,5191.0,0.031139822358546586
91,31.0,9.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,1.0,1.4,93.444,-36.1,4.965,5228.1,0.14720489255540056
92,43.0,9.0,1.0,3.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.4,93.918,-42.7,4.962,5228.1,0.055953069514501574
93,48.0,9.0,1.0,3.0,1.0,0.0,1.0,6.0,0.0,1.0,0.0,1.0,1.1,93.994,-36.4,4.857,5191.0,0.033406214330090944
94,37.0,6.0,0.0,6.0,1.0,0.0,1.0,6.0,0.0,1.0,0.0,1.0,1.1,93.994,-36.4,4.864,5191.0,0.047235401852986275
95,52.0,7.0,2.0,3.0,1.0,0.0,1.0,4.0,4.0,1.0,0.0,1.0,1.4,94.465,-41.8,4.962,5228.1,0.04042479545352965
96,41.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,4.0,2.0,0.0,1.0,1.1,93.994,-36.4,4.857,5191.0,0.026628855134864862
97,45.0,9.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,-1.7,94.027,-38.3,0.896,4991.6,0.40597393217320793
98,51.0,7.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,1.0,1.1,93.994,-36.4,4.859,5191.0,0.03872624922371948
99,36.0,0.0,2.0,6.0,1.0,0.0,0.0,7.0,3.0,1.0,1.0,0.0,-0.1,93.2,-42.0,4.153,5195.8,0.023792347299275582
100,52.0,7.0,1.0,3.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0,1.0,-1.8,92.893,-46.2,1.313,5099.1,0.06865580167774635
101,34.0,1.0,1.0,2.0,1.0,0.0,1.0,4.0,2.0,2.0,0.0,1.0,1.4,94.465,-41.8,4.961,5228.1,0.0448437262791621
102,38.0,7.0,2.0,3.0,0.0,1.0,1.0,6.0,2.0,3.0,0.0,1.0,1.1,93.994,-36.4,4.86,5191.0,0.05147080102642426
103,33.0,0.0,1.0,6.0,1.0,0.0,0.0,7.0,0.0,3.0,0.0,1.0,-0.1,93.2,-42.0,4.021,5195.8,0.060210886567369185
104,36.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.4,93.444,-36.1,4.964,5228.1,0.04319959752065715
105,34.0,1.0,1.0,5.0,0.0,0.0,0.0,7.0,3.0,1.0,1.0,0.0,-0.1,93.2,-42.0,4.153,5195.8,0.04157598927970951
106,34.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,4.0,2.0,0.0,1.0,1.1,93.994,-36.4,4.857,5191.0,0.03127285802649202
107,65.0,5.0,2.0,6.0,0.0,0.0,0.0,7.0,2.0,1.0,2.0,0.0,-3.4,92.649,-30.1,0.714,5017.5,0.4175276357947412
108,31.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,8.0,0.0,1.0,1.4,93.918,-42.7,4.962,5228.1,0.04451530788278646
109,28.0,7.0,2.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.4,93.918,-42.7,4.963,5228.1,0.06444029456187472
110,52.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,1.4,94.465,-41.8,4.967,5228.1,0.04080069192142151
111,29.0,4.0,2.0,6.0,1.0,0.0,1.0,6.0,0.0,1.0,0.0,1.0,1.1,93.994,-36.4,4.855,5191.0,0.030655584194992057
112,38.0,9.0,2.0,6.0,1.0,1.0,0.0,4.0,2.0,1.0,0.0,1.0,-1.7,94.055,-39.8,0.742,4991.6,0.5629293451874472
113,45.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,1.4,93.444,-36.1,4.965,5228.1,0.07546186973819531
114,25.0,8.0,2.0,2.0,0.0,1.0,0.0,6.0,4.0,1.0,0.0,1.0,-1.8,92.893,-46.2,1.334,5099.1,0.13504108820073174
115,27.0,9.0,2.0,3.0,1.0,0.0,1.0,4.0,2.0,8.0,0.0,1.0,1.4,94.465,-41.8,4.955,5228.1,0.08756311768691132
116,38.0,9.0,1.0,5.0,0.0,0.0,1.0,6.0,3.0,1.0,0.0,1.0,1.1,93.994,-36.4,4.856,5191.0,0.03196921983844754
117,48.0,1.0,1.0,2.0,1.0,0.0,1.0,6.0,3.0,1.0,0.0,1.0,1.1,93.994,-36.4,4.856,5191.0,0.027252366487594003
118,49.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,0.0,1.0,1.4,94.465,-41.8,4.864,5228.1,0.026593400324240304
119,59.0,4.0,1.0,0.0,1.0,1.0,1.0,6.0,3.0,1.0,0.0,1.0,1.1,93.994,-36.4,4.857,5191.0,0.02480206532884441
120,32.0,7.0,1.0,3.0,1.0,0.0,1.0,4.0,4.0,2.0,0.0,1.0,1.4,94.465,-41.8,4.864,5228.1,0.05058703532211935
121,30.0,0.0,0.0,6.0,0.0,1.0,1.0,6.0,0.0,3.0,0.0,1.0,1.1,93.994,-36.4,4.857,5191.0,0.024163922095909656
122,32.0,3.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,-1.8,92.893,-46.2,1.313,5099.1,0.054892343948533075
123,45.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,-1.8,93.075,-47.1,1.405,5099.1,0.096970760445033
124,34.0,9.0,1.0,6.0,0.0,0.0,0.0,7.0,2.0,2.0,1.0,0.0,-0.1,93.2,-42.0,4.076,5195.8,0.03559347283131266
125,31.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,1.4,93.444,-36.1,4.964,5228.1,0.05592370298933361
126,36.0,1.0,2.0,0.0,1.0,0.0,1.0,4.0,0.0,8.0,0.0,1.0,1.4,94.465,-41.8,4.947,5228.1,0.030158924227277003
127,42.0,0.0,1.0,3.0,1.0,0.0,1.0,6.0,3.0,2.0,0.0,1.0,1.1,93.994,-36.4,4.857,5191.0,0.025200275392608936
128,52.0,1.0,2.0,5.0,0.0,1.0,0.0,3.0,0.0,11.0,0.0,1.0,1.4,93.918,-42.7,4.962,5228.1,0.04019345213731299
129,26.0,9.0,2.0,6.0,0.0,0.0,1.0,3.0,2.0,4.0,0.0,1.0,1.4,93.918,-42.7,4.962,5228.1,0.04613087447662388
130,56.0,5.0,1.0,6.0,1.0,1.0,0.0,5.0,1.0,2.0,0.0,1.0,-1.8,92.843,-50.0,1.629,5099.1,0.29418126493487484
131,52.0,0.0,1.0,6.0,1.0,0.0,0.0,3.0,3.0,4.0,0.0,1.0,1.4,93.918,-42.7,4.961,5228.1,0.05141393585961471
132,37.0,0.0,1.0,6.0,1.0,0.0,0.0,3.0,1.0,5.0,0.0,1.0,1.4,93.918,-42.7,4.962,5228.1,0.056295867842401315
133,29.0,8.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,-1.8,93.075,-47.1,1.405,5099.1,0.14362401452304083
134,50.0,3.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,1.4,93.918,-42.7,4.96,5228.1,0.03581651812487161
135,36.0,2.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,4.0,0.0,1.0,-1.8,92.893,-46.2,1.313,5099.1,0.0385552798116906
136,35.0,1.0,1.0,3.0,0.0,0.0,1.0,6.0,4.0,1.0,0.0,1.0,1.1,93.994,-36.4,4.857,5191.0,0.03782539532099654
137,54.0,9.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,-1.8,93.075,-47.1,1.405,5099.1,0.09502510169297537
138,33.0,1.0,1.0,0.0,1.0,1.0,0.0,6.0,3.0,1.0,0.0,1.0,-1.8,92.893,-46.2,1.344,5099.1,0.05200291484802746
139,35.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.4,93.918,-42.7,4.962,5228.1,0.07779847198796364
140,33.0,9.0,1.0,5.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.4,93.444,-36.1,4.963,5228.1,0.05305060104588921
141,39.0,1.0,2.0,5.0,0.0,0.0,1.0,6.0,4.0,2.0,0.0,1.0,1.1,93.994,-36.4,4.857,5191.0,0.03090053341516433
142,40.0,0.0,1.0,6.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,1.0,-0.1,93.2,-42.0,4.191,5195.8,0.026930401102980447
143,42.0,1.0,1.0,5.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0,-1.8,92.893,-46.2,1.313,5099.1,0.06304118839167473
144,45.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,1.0,1.4,94.465,-41.8,4.961,5228.1,0.053246871343519964
145,57.0,9.0,0.0,5.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,1.4,93.918,-42.7,4.961,5228.1,0.061346342435650784
146,46.0,0.0,1.0,6.0,0.0,0.0,1.0,3.0,3.0,6.0,0.0,1.0,1.4,93.918,-42.7,4.961,5228.1,0.02722663449234781
147,29.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,1.4,93.918,-42.7,4.96,5228.1,0.03489336042808622
148,30.0,0.0,1.0,6.0,0.0,0.0,0.0,7.0,2.0,2.0,0.0,1.0,-0.1,93.2,-42.0,4.076,5195.8,0.065378933182322
149,49.0,3.0,1.0,0.0,1.0,0.0,1.0,6.0,3.0,2.0,0.0,1.0,1.1,93.994,-36.4,4.857,5191.0,0.02589099290264412
150,52.0,0.0,0.0,6.0,0.0,1.0,0.0,3.0,4.0,8.0,0.0,1.0,1.4,93.918,-42.7,4.963,5228.1,0.04026230100458216
151,42.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,4.0,2.0,0.0,1.0,1.4,94.465,-41.8,4.962,5228.1,0.04986677041564078
152,48.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,1.0,1.4,93.918,-42.7,4.961,5228.1,0.0629570646672843
153,49.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.4,93.918,-42.7,4.962,5228.1,0.03626100825675019
154,33.0,6.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,-1.8,93.075,-47.1,1.405,5099.1,0.15391939028662344
155,38.0,9.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.4,93.444,-36.1,4.963,5228.1,0.044709765311088355
156,23.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,1.0,1.4,93.918,-42.7,4.962,5228.1,0.051992829627381304
157,47.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.4,93.918,-42.7,4.957,5228.1,0.053829209205495415
158,37.0,4.0,0.0,6.0,0.0,1.0,0.0,7.0,1.0,1.0,1.0,0.0,-0.1,93.2,-42.0,4.191,5195.8,0.02240591906345454
159,31.0,1.0,2.0,0.0,1.0,0.0,0.0,7.0,2.0,2.0,0.0,1.0,-0.1,93.2,-42.0,4.076,5195.8,0.05073295234109204
160,30.0,0.0,2.0,6.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0,-1.8,92.893,-46.2,1.25,5099.1,0.14272076636798467
161,55.0,5.0,0.0,5.0,0.0,0.0,1.0,4.0,2.0,3.0,0.0,1.0,1.4,94.465,-41.8,4.961,5228.1,0.04015198222111044
162,57.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.4,93.918,-42.7,4.962,5228.1,0.047489242669281145
163,38.0,1.0,2.0,1.0,0.0,0.0,0.0,7.0,4.0,1.0,0.0,1.0,-0.1,93.2,-42.0,4.12,5195.8,0.06500978332336566
164,36.0,9.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.4,93.444,-36.1,4.966,5228.1,0.055881904481619
165,42.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,0.0,1.0,1.4,94.465,-41.8,4.864,5228.1,0.03710538315115565
166,38.0,0.0,2.0,6.0,1.0,1.0,1.0,6.0,4.0,3.0,0.0,1.0,1.1,93.994,-36.4,4.859,5191.0,0.056451485992877894
167,57.0,0.0,1.0,1.0,1.0,0.0,1.0,6.0,3.0,3.0,0.0,1.0,1.1,93.994,-36.4,4.857,5191.0,0.015588970543333068
168,39.0,0.0,1.0,6.0,1.0,0.0,1.0,6.0,0.0,2.0,0.0,1.0,1.1,93.994,-36.4,4.855,5191.0,0.029578810441827245
169,33.0,7.0,1.0,6.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,1.0,1.4,94.465,-41.8,4.961,5228.1,0.042520708630128363
